Name,RUID,Gender,GPA,Permit,Car Manufacturer,License Plate,Credits
Amy Hamilton,154002462,Female,3.78,Busch,Honda,8SREIG,10
Amy Hemmings,154002484,Female,3.55,Busch,Ford,JSBL9G,10
Amy Hill,154002493,Female,3.52,Cook,Ford,N5LUKB,10
Amy Jackson,154002503,Female,3.62,Busch,Audi,AJXVBU,10
Amy Newman,154002507,Female,3.97,Douglass,Chevrolet,1Z5O4R,10
Amy Roberts,154002509,Female,3.88,Busch,Ford,BJL4WD,10
Amy Taylor,154002515,Female,3.85,Douglass,Chevrolet,UGRJH1,10
Amy Tucker,154002517,Female,3.89,Douglass,Honda,8I89CH,10
Amy Turner,154002521,Female,3.71,Livingston,Subaru,BQFLB3,10
Amy Wallace,154002526,Female,3.77,Busch,Chevrolet,ZE70GO,10
Amy Walsh,154002558,Female,3.82,Busch,Ford,F6VN0Z,10
Amy White,154002567,Female,3.7,Busch,Subaru,OBI5KJ,10
Amy Young,154002589,Female,3.88,Busch,Subaru,Q95CXO,10
Andrea Allan,154002600,Female,3.62,Livingston,Honda,8FZ6PP,10
Andrea Alsop,154002604,Female,3.87,Busch,Toyota,PVP3H3,10
Andrea Hardacre,154002620,Female,3.58,Livingston,Toyota,F6WE9R,10
Andrea Hemmings,154002624,Female,3.59,College Avenue,Honda,I9XH1G,10
Andrea Murray,154002625,Female,3.65,Busch,Volvo,1DKDM7,10
Andrea Ogden,154002634,Female,3.86,Busch,Volvo,3I6ZWZ,10
Andrea Randall,154002635,Female,3.63,Busch,Toyota,X2UR6C,10
Andrea Roberts,154002639,Female,3.96,College Avenue,Jeep,A9SIN2,10
Andrea Terry,154002649,Female,3.68,Livingston,Toyota,4TEEAU,10
Andrea Wallace,154002656,Female,3.6,Busch,Toyota,ZH3X5X,10
Andrea Wright,154002658,Female,3.89,Livingston,Toyota,HUKQ6N,10
Andrew Carr,154002661,Male,3.85,Busch,Ford,YPKC76,10
Andrew Gray,154002663,Male,3.9,Busch,Chevrolet,MSK4G5,10
Andrew King,154002664,Male,3.51,Busch,Ford,4ZE4AZ,10
Andrew Sutherland,154002665,Male,3.58,College Avenue,Ford,ZATRTZ,10
Andrew Watson,154002679,Male,3.88,Livingston,Ford,H1KMAX,10
Andrew Wilkins,154002686,Male,3.94,Busch,Subaru,RQCXK0,10
Andrew Young,154002694,Male,3.89,Busch,Honda,AOGCGI,10
Angela Bond,154002705,Female,3.66,Busch,Audi,K78LJF,10
Angela Chapman,154002707,Female,3.54,Busch,BMW,OISJYV,10
Angela Ferguson,154002712,Female,3.83,Livingston,Audi,83QQWQ,10
Angela Glover,154002721,Female,3.87,Livingston,Ford,PYEVBT,10
Angela Gray,154002765,Female,3.89,Busch,Toyota,ATAJTP,10
Angela Hill,154002768,Female,3.98,Livingston,Audi,EAIIQ3,10
Angela Howard,154002780,Female,3.71,Livingston,Subaru,8K9HO6,10
Angela Jackson,154002797,Female,3.59,Busch,Toyota,YD7H2E,10
Angela Kelly,154002798,Female,3.82,College Avenue,Jeep,AUV3E3,10
Angela McLean,154002814,Female,3.51,Cook,Honda,FR7O7T,10
Angela Walsh,154002817,Female,3.53,Busch,Chevrolet,8DU4W8,10
Angela Watson,154002829,Female,3.99,Cook,Hyundai,6N0957,10
Anna Alsop,154002840,Female,3.75,Busch,Hyundai,9L59VO,10
Anna Carr,154002852,Female,3.64,Busch,Mazda,IF9F2U,10
Anna Davies,154002876,Female,3.85,College Avenue,Audi,CZOY9K,10
Anna Duncan,154002892,Female,3.78,Cook,Volvo,A7I9WX,10
Anna Gray,154002894,Female,3.8,Busch,Honda,WPCAWJ,10
Anna Lambert,154002895,Female,3.56,Busch,Chevrolet,88Q7K2,10
Anna MacDonald,154002906,Female,3.63,Livingston,Ford,K2Q8KC,10
Anna Murray,154002908,Female,3.94,Douglass,Toyota,1JV51U,10
Anna Quinn,154002914,Female,3.87,Busch,Honda,6DTKM9,10
Anna Rees,154002933,Female,3.91,Livingston,Mazda,NVC0P3,10
Anna Short,154002939,Female,3.56,Busch,Ford,8EP8N1,10
Anna Walker,154002964,Female,3.72,Livingston,Ford,EGTLQ1,10
Anna Wright,154002968,Female,3.7,College Avenue,Lamborghini,L2L30Y,10
Anne Bond,154002982,Female,3.55,Busch,Chevrolet,73K4N1,10
Anne Cameron,154003001,Female,3.64,Busch,Honda,1X0O35,10
Anne Davidson,154003021,Female,3.84,Busch,Chevrolet,40BIPJ,10
Anne Johnston,154003025,Female,3.78,Busch,Hyundai,GQJHAZ,10
Anne Kelly,154003032,Female,3.51,Livingston,Ford,T6ESGY,10
Anne Mackenzie,154003033,Female,3.69,Busch,Toyota,UEYE5K,10
Anne McGrath,154003035,Female,3.89,Douglass,Ford,LQIPJZ,10
Anne McLean,154003039,Female,3.77,Busch,Ford,CL6PDV,10
Anne Poole,154003075,Female,3.83,Livingston,Ford,0PLU0B,10
Anne Springer,154003082,Female,3.76,College Avenue,Ford,C2HWPM,10
Anthony Abraham,154003083,Male,3.5,Busch,Chevrolet,O8M5ID,10
Anthony Bond,154003084,Male,3.86,Busch,Chevrolet,FU52ID,10
Anthony Ellison,154003095,Male,3.7,Busch,Ford,BOLBT0,10
Anthony Langdon,154003096,Male,3.77,Busch,Ford,Z1YJYQ,10
Anthony Lewis,154003105,Male,3.55,Livingston,Volvo,8QFJG1,10
Anthony Marshall,154003135,Male,3.57,Busch,Ford,9XT8JI,10
Anthony Rutherford,154003177,Male,3.85,Busch,Volvo,JA0TQA,10
Anthony Sharp,154003178,Male,3.91,Busch,Honda,OS6F5B,10
Anthony Smith,154003181,Male,3.5,College Avenue,Chevrolet,JBH0QC,10
Anthony Stewart,154003186,Male,3.99,Livingston,Honda,RL7WYM,10
Anthony White,154003225,Male,3.83,Busch,Jeep,BFLG1F,10
Audrey Baker,154003226,Female,3.88,Busch,Mazda,A3OCIX,10
Audrey Bower,154003234,Female,4,Busch,Ford,WY9WUW,10
Audrey Coleman,154003237,Female,3.96,Busch,Toyota,JA3RIN,10
Audrey Dickens,155001257,Female,3.97,Livingston,Audi,P01C9N,10
Audrey Ellison,155001278,Female,3.74,College Avenue,Toyota,YZPPZO,10
Audrey Hamilton,155001282,Female,3.51,Busch,Hyundai,AKAJE3,10
Audrey Lee,155001293,Female,3.63,Livingston,Subaru,ZJR55B,10
Audrey Mackenzie,155001326,Female,3.72,Busch,BMW,CNL02J,10
Audrey Mathis,155001330,Female,3.75,Cook,Honda,RKB7EU,10
Audrey Mitchell,155001338,Female,3.7,Douglass,Volvo,N7IA7B,10
Audrey Morgan,155001376,Female,3.7,Busch,Hyundai,EK7XSH,10
Audrey Ross,155001383,Female,3.53,Livingston,Honda,1RYRKK,10
Audrey Scott,155001395,Female,4,Livingston,Volvo,JNWP6W,10
Audrey Slater,155001429,Female,3.53,Cook,Honda,R0JX8T,10
Audrey Springer,155001437,Female,3.6,Busch,Volvo,FVOE7J,10
Austin Cameron,155001456,Male,3.53,Cook,Mercedes,ETMPDN,10
Austin Davidson,155001464,Male,3.99,Busch,Honda,CFHC2F,10
Austin Howard,155001467,Male,3.61,Livingston,Audi,MNZU5P,10
Austin Hunter,155001488,Male,3.99,Busch,Honda,EYAUJC,10
Austin MacDonald,155001500,Male,3.6,Busch,Honda,OZC88T,10
Austin Paige,155001506,Male,3.01,Busch,Chevrolet,GICNJ9,10
Austin Paterson,155001507,Male,3.22,Livingston,Honda,MDPZHV,10
Austin Peake,155001532,Male,3.14,Cook,Ford,9DULIX,10
Austin Scott,155001562,Male,3.03,Busch,Lamborghini,53H23W,10
Austin Skinner,155001565,Male,3.19,Livingston,Honda,6ZAZPH,10
Austin Wilkins,155001566,Male,3.34,Livingston,Jeep,CBIU9Y,10
Ava Abraham,155001576,Female,3.18,Busch,Subaru,5R0XVA,10
Ava Alsop,155001577,Female,3.06,Livingston,Ford,762P6F,10
Ava Anderson,155001578,Female,3.3,Cook,Ford,00Q3R5,10
Ava Arnold,155001592,Female,3.01,Busch,Ford,UBHZRJ,10
Ava Ball,155001600,Female,3.01,College Avenue,Toyota,N4MASH,10
Ava Churchill,155001606,Female,3.05,Busch,Ford,ZG4GMK,10
Ava Edmunds,155001609,Female,3.08,Livingston,Mercedes,V09FX2,10
Ava Glover,155001616,Female,3.1,Livingston,Ford,8K4VHP,10
Ava Knox,155001621,Female,3.5,Busch,Hyundai,874RZ8,10
Ava Lee,155001643,Female,3.3,Livingston,Honda,NE8JLR,10
Ava Nolan,155001646,Female,3.03,Busch,Subaru,RPK37M,10
Ava Peake,155001661,Female,3.02,Livingston,Subaru,LTX509,10
Ava Powell,155001675,Female,3.14,Busch,Ford,XCSMMQ,10
Bella Bell,155001684,Female,3.31,Livingston,Jeep,9H8E13,10
Bella Burgess,155001704,Female,3.48,Douglass,Ford,DQM4TM,10
Bella Chapman,155001708,Female,3.21,Busch,Toyota,QYYSX6,10
Bella Gill,155001711,Female,3.37,Busch,Toyota,ODC5CD,10
Bella MacLeod,155001715,Female,3.32,Busch,Toyota,788W06,10
Bella Metcalfe,155001728,Female,3.24,Livingston,Toyota,N50CN1,10
Bella Reid,155001770,Female,3.31,Busch,Volvo,3CFPOT,10
Bella Russell,155001803,Female,3.18,Busch,Toyota,F0BUYC,10
Bella Rutherford,155001805,Female,3.43,Busch,BMW,QTQ0R8,10
Bella Springer,155001827,Female,3.24,Busch,Audi,54OS59,10
Bella Walker,155001828,Female,3.29,Busch,Mazda,QFZZK8,10
Benjamin Anderson,155001840,Male,3.38,Livingston,Ford,TD0XK5,10
Benjamin Coleman,155001845,Male,3.28,Busch,BMW,41KDE4,10
Benjamin Lambert,155001878,Male,3.34,Cook,Mercedes,JMQSD3,10
Benjamin Lawrence,155001880,Male,3.14,Livingston,Mercedes,UYZ6P2,10
Benjamin Manning,155001882,Male,3.08,Busch,Hyundai,SNXVHY,10
Benjamin Marshall,155001898,Male,3.25,Busch,Toyota,2JU4B8,10
Benjamin Poole,155001905,Male,3.48,Busch,Mazda,CYR1Y2,10
Benjamin Rampling,155001908,Male,3.27,Busch,Mazda,MBS2VS,10
Benjamin Short,155001944,Male,3.41,Busch,Hyundai,6BMIJF,10
Bernadette Black,155001954,Female,3.05,Cook,Ford,3CP7L7,10
Bernadette Gill,155001974,Female,3.28,Busch,Mercedes,QXQKYE,10
Bernadette Jones,155002010,Female,3.24,Busch,Subaru,WR47P7,10
Bernadette Martin,155002014,Female,3.28,Livingston,Ford,VQCT5G,10
Bernadette McLean,155002015,Female,3.5,Busch,Ford,BR3B2O,10
Bernadette Parsons,155002032,Female,3.46,Douglass,Hyundai,4UUC8H,10
Bernadette Paterson,155002035,Female,3.02,Cook,Honda,73XBFZ,10
Bernadette Randall,155002042,Female,3.04,Livingston,Honda,P98M8Q,10
Bernadette Simpson,155002045,Female,3.15,College Avenue,Honda,HP1A68,10
Bernadette Walker,155002050,Female,3.38,Busch,Mazda,3KNZ1F,10
Blake Anderson,155002053,Male,3.24,Busch,Honda,YMV5H9,10
Blake Edmunds,155002054,Male,3.24,Livingston,Ford,HFAUVP,10
Blake Forsyth,155002061,Male,3.4,Busch,Mazda,79RC5Y,10
Blake Harris,155002088,Male,3.09,Busch,Hyundai,3X1YEW,10
Blake May,155002102,Male,3.42,Cook,Mazda,V06QZR,10
Blake Paige,155002128,Male,3.19,Cook,BMW,OOAQ3Q,10
Blake Wright,155002131,Male,3.02,Busch,Audi,XNONYT,10
Boris Alsop,155002149,Male,3.13,Cook,Subaru,CF8O0G,10
Boris Dickens,155002154,Male,3.48,College Avenue,Honda,YFL63Q,10
Boris Dowd,155002161,Male,3.33,Busch,Hyundai,SJ7I5D,10
Boris Fraser,155002179,Male,3.2,Busch,BMW,27G639,10
Boris Mackenzie,155002209,Male,3.33,Douglass,Subaru,TM2E5P,10
Boris Nash,155002212,Male,3.04,College Avenue,Ford,7NMMZI,10
Boris Pullman,155002213,Male,3.44,Livingston,Ford,WJWH7J,10
Boris Simpson,155002214,Male,3.5,College Avenue,Jeep,WXLHNI,10
Boris Wallace,155002220,Male,3.24,Busch,Mazda,1R2RTZ,10
Boris White,155002226,Male,3.32,Cook,Toyota,SQGT07,10
Brandon Berry,155002227,Male,3.42,College Avenue,Honda,GWMTGC,10
Brandon Brown,155002231,Male,3.27,College Avenue,Mazda,V64D1J,10
Brandon Clark,155002237,Male,3.44,Livingston,Honda,D1CG7M,10
Brandon Clarkson,155002246,Male,3.22,College Avenue,Honda,IGDMTR,10
Brandon Gill,155002251,Male,3.22,Busch,Mazda,O2EA5S,10
Brandon Hart,155002276,Male,3.46,Cook,Audi,FWQ46Z,10
Brandon Hemmings,155002300,Male,3.02,Livingston,Hyundai,SM2BAH,10
Brandon Jackson,155002334,Male,3.49,Busch,Honda,WMIOID,10
Brandon Martin,155002341,Male,3.02,Busch,Ford,XI4R1W,10
Brandon Miller,155002348,Male,3.06,Busch,Chevrolet,KW7GJ5,10
Brandon Sharp,155002361,Male,3.09,Busch,Mazda,KLYZLU,10
Brian Abraham,155002366,Male,3.17,Busch,Jeep,SDQN2S,10
Brian Alsop,155002369,Male,3.46,Busch,Mercedes,B7HHZG,10
Brian Dipaolo,155002372,Male,3.18,Busch,Toyota,GYMEPN,10
Brian Gibson,155002402,Male,3.19,Douglass,Honda,VN6D3B,10
Brian Mackay,155002417,Male,3.42,Livingston,Ford,D68OBN,10
Brian Sharp,155002430,Male,3.02,Busch,Subaru,IPQUBX,10
Brian Short,155002472,Male,3.41,Livingston,Honda,OION8P,10
Brian Springer,155002487,Male,3.16,Busch,BMW,ZXGMK2,10
Brian Thomson,155002491,Male,3.41,Cook,Chevrolet,QAOG1T,10
Brian Welch,155002520,Male,3.09,Busch,Toyota,PYNM53,10
Brian White,155002530,Male,3.24,Cook,Subaru,0R1Q6Y,10
Cameron Baker,155002542,Male,3.27,College Avenue,Honda,B7O673,10
Cameron Berry,155002552,Male,3.1,College Avenue,Honda,MAFNZ1,10
Cameron Davies,155002586,Male,3.23,Busch,Mercedes,USMEVN,10
Cameron Gill,155002587,Male,3.19,Busch,Subaru,763EA5,10
Cameron Grant,155002588,Male,3.29,Busch,Audi,W9DIE8,10
Cameron Jackson,155002601,Male,3.47,Busch,Hyundai,NZPKY5,10
Cameron Langdon,155002617,Male,3.37,Busch,Chevrolet,TOY4EL,10
Cameron Lewis,155002623,Male,3.23,Busch,Volvo,C7S7LS,10
Cameron MacDonald,155002628,Male,3.07,Busch,Hyundai,TOHKUM,10
Cameron MacLeod,155002630,Male,3.41,Livingston,Lamborghini,DM9YWX,10
Cameron Metcalfe,155002636,Male,3.4,Busch,Audi,6FYJPA,10
Cameron Newman,155002644,Male,3.4,Livingston,BMW,DHZSDI,10
Cameron North,155002654,Male,3.39,Busch,Mazda,1T95T8,10
Cameron Tucker,155002659,Male,3.48,Busch,Chevrolet,0353R5,10
Cameron Vance,155002677,Male,3.11,Busch,Mazda,ZN4Q3L,10
Cameron Vaughan,155002689,Male,3.33,Livingston,Ford,ZHNC5R,10
Carl Abraham,155002699,Male,3.21,Busch,Volvo,SRMSV2,10
Carl Carr,155002715,Male,3.2,Busch,Subaru,9TRPS9,10
Carl Davies,155002722,Male,3.18,Busch,Volvo,N5U81O,10
Carl Edmunds,155002727,Male,3.12,Busch,Ford,CQ483P,10
Carl Gray,155002745,Male,3.34,College Avenue,Ford,FSR7AE,10
Carl Hamilton,155002757,Male,3.33,Busch,Ford,6YQ1LT,10
Carl Johnston,155002758,Male,3.04,Livingston,Chevrolet,FBWO9J,10
Carl Lee,155002760,Male,3.21,Douglass,Mazda,AT1AZB,10
Carl Lewis,155002764,Male,3.17,Douglass,Honda,XR9OF1,10
Carl Martin,155002769,Male,3.04,Busch,Ford,AISP0Y,10
Carl North,155002785,Male,3.06,Busch,Toyota,0MHTI2,10
Carl Paige,155002786,Male,3.12,College Avenue,Honda,UKXMAO,10
Carl Parr,155002792,Male,3.02,Busch,Ford,B1B0B6,10
Carl Payne,155002830,Male,3.19,Livingston,Mazda,RV6SFI,10
Carl Piper,155002837,Male,3.04,Busch,Ford,U7AIV9,10
Carl Rampling,155002839,Male,3.26,Busch,Volvo,22RV88,10
Carl Roberts,155002848,Male,3.38,Livingston,Hyundai,XNGAVJ,10
Carl Sanderson,155002859,Male,3.5,Busch,Chevrolet,1PG8I2,10
Carl Walsh,155002860,Male,3.38,Busch,Honda,T5ZDCY,10
Carol Coleman,155002861,Female,3.27,Busch,Ford,NVJ16G,10
Carol Ellison,155002865,Female,3.38,Busch,Chevrolet,70OVT9,10
Carol Graham,155002872,Female,3.37,Busch,Ford,9IAGDL,10
Carol Henderson,155002888,Female,3.4,Busch,Chevrolet,NZ728G,10
Carol Kerr,155002890,Female,3.13,Livingston,BMW,9N7VY1,10
Carol Martin,155002902,Female,3.42,Busch,Toyota,YNGM54,10
Carol Mills,155002910,Female,3.03,Cook,Hyundai,VY9YWX,10
Carol Oliver,155002938,Female,3.21,Livingston,Ford,OHV8ID,10
Carol Peters,155002953,Female,3.36,Livingston,Volvo,N3NMRW,10
Carol Quinn,155002956,Female,3.12,Douglass,Ford,GXIRHH,10
Carol Robertson,155002957,Female,3.07,College Avenue,Subaru,KQ05TS,10
Carol Watson,155002961,Female,3,Cook,Hyundai,VVGTOJ,10
Caroline Abraham,155002990,Female,3.4,Busch,Ford,88YMJQ,10
Caroline Bell,155003002,Female,3.06,Busch,BMW,CIAJM2,10
Caroline Churchill,155003005,Female,3.38,Busch,BMW,DZ4REV,10
Caroline Dowd,155003006,Female,3.11,Douglass,Subaru,7ZYPNL,10
Caroline Duncan,155003007,Female,3.11,Livingston,Ford,DA3214,10
Caroline Henderson,155003028,Female,3.46,Busch,Honda,1V5TXX,10
Caroline Kerr,155003041,Female,3.26,Douglass,Hyundai,J71A0L,10
Caroline Lee,155003046,Female,3.23,Cook,Toyota,3XIUV2,10
Caroline Miller,155003055,Female,3.28,Busch,Ford,1T507Q,10
Caroline Ogden,155003072,Female,3.13,Livingston,Toyota,ZS9PKQ,10
Caroline Paterson,155003079,Female,3.09,Busch,Audi,M5V26N,10
Caroline Terry,155003091,Female,3.04,Busch,Hyundai,ZL9KDB,10
Caroline White,155003094,Female,3.3,College Avenue,Hyundai,C1C313,10
Carolyn Ball,155003111,Female,3.17,Busch,Jeep,YYYFBK,10
Carolyn Clark,155003116,Female,3.46,Busch,Honda,BG34X3,10
